root_dir,dataset_split_ratio,train_modifications,test_modifications,perfect_acc,top5_acc
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,,,78.571,94.643
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,,"DatasetModifications(ratio=1.0, inplace=True)",33.929,64.286
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,"DatasetModifications(ratio=0.2, inplace=True)","DatasetModifications(ratio=1.0, inplace=True)",39.286,73.214
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,"DatasetModifications(ratio=0.2, inplace=False)","DatasetModifications(ratio=1.0, inplace=True)",41.071,76.786
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,"DatasetModifications(ratio=0.5, inplace=True)","DatasetModifications(ratio=1.0, inplace=True)",58.929,85.714
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,"DatasetModifications(ratio=0.5, inplace=False)","DatasetModifications(ratio=1.0, inplace=True)",53.571,85.714
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,"DatasetModifications(ratio=1.0, inplace=True)","DatasetModifications(ratio=1.0, inplace=True)",51.786,89.286
/home/piotr/Documents/bsc-thesis/datasets/original,0.8,"DatasetModifications(ratio=1.0, inplace=False)","DatasetModifications(ratio=1.0, inplace=True)",62.5,89.286
